id,date,sd,quantile,sign,trade,perd,chg,name,closing_price
451,2012/12/31,0.00790898,-0.0294464,0,0,0,0,marketing_bear_lin1,0
452,2013/1/31,0.0134212,-0.0294223,0,0,0,0,marketing_bear_lin1,0
453,2013/2/28,0.0168691,-0.0294225,0,0,0,0,marketing_bear_lin1,0
454,2013/3/29,0.0195701,-0.0294061,0,0,0,0,marketing_bear_lin1,0
455,2013/4/30,0.0217427,-0.0294087,0,0,0,0,marketing_bear_lin1,0
456,2013/5/31,0.0248578,-0.0293545,0,0,0,0,marketing_bear_lin1,0
457,2013/6/28,0.019948,-0.0287108,0,0,0,0,marketing_bear_lin1,0
458,2013/7/31,0.0131988,-0.0275557,0,0,0,0,marketing_bear_lin1,0
459,2013/8/30,0.00412392,-0.0263155,0,0,0,0,marketing_bear_lin1,0
460,2013/9/30,-1.63E-05,-0.0262427,0,0,0,0,marketing_bear_lin1,0
461,2013/10/31,-0.00638586,-0.0266468,0,0,0,0,marketing_bear_lin1,0
462,2013/11/29,-0.0121355,-0.0272463,0,0,0,0,marketing_bear_lin1,0
463,2013/12/31,-0.0141966,-0.0278766,0,0,0,0,marketing_bear_lin1,0
464,2014/1/31,-0.0139379,-0.0284316,0,0,0,0,marketing_bear_lin1,0
465,2014/2/28,-0.0100461,-0.0288367,0,0,0,0,marketing_bear_lin1,0
466,2014/3/31,-0.00660987,-0.0291002,0,0,0,0,marketing_bear_lin1,0
467,2014/4/30,-0.00609143,-0.0291599,0,0,0,0,marketing_bear_lin1,0
468,2014/5/30,-0.00486362,-0.0290999,0,0,0,0,marketing_bear_lin1,0
469,2014/6/30,-0.00777863,-0.0290555,0,0,0,0,marketing_bear_lin1,0
470,2014/7/31,-0.00377822,-0.0286722,0,0,0,0,marketing_bear_lin1,0
471,2014/8/29,-0.00280224,-0.0272679,0,0,0,0,marketing_bear_lin1,0
472,2014/9/30,0.00180734,-0.0241576,0,0,0,0,marketing_bear_lin1,0
473,2014/10/31,0.00211973,-0.0199488,0,0,0,0,marketing_bear_lin1,0
474,2014/11/28,-0.00148729,-0.0156701,0,0,0,0,marketing_bear_lin1,0
475,2014/12/31,-0.00391269,-0.0121108,0,0,0,0,marketing_bear_lin1,0
476,2015/1/30,-0.00629245,-0.00948655,0,0,0,0,marketing_bear_lin1,0
477,2015/2/27,-0.00944179,-0.00886297,1,0,0,0,marketing_bear_lin1,0
478,2015/3/31,-0.0137638,-0.00949566,1,1,0,0,marketing_bear_lin1,0
479,2015/4/30,-0.0125964,-0.0102118,1,1,1,1,marketing_bear_lin1,0
480,2015/5/29,-0.00643634,-0.0105164,0,0,1,0,marketing_bear_lin1,0
481,2015/6/30,-0.00167714,-0.0105933,0,0,1,0,marketing_bear_lin1,0
482,2015/7/31,-0.00180345,-0.0106876,0,0,1,0,marketing_bear_lin1,0
483,2015/8/31,-0.011651,-0.0113081,1,0,0,-1,marketing_bear_lin1,0
484,2015/9/30,-0.0140899,-0.0120613,1,1,0,0,marketing_bear_lin1,0
485,2015/10/30,-0.0131859,-0.0127249,1,1,1,1,marketing_bear_lin1,0
486,2015/11/30,-0.00312707,-0.0129065,0,0,1,0,marketing_bear_lin1,0
